,time,precipitation,location_cluster,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
0,1949-01-31,8250.402624961596,0,1949,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
1,1949-02-28,53806.034595594705,0,1949,2,28,9,0,59,1,Winter,0.5000000000000001,1.0
2,1949-03-31,20101.14964449355,0,1949,3,31,13,3,90,1,Spring,6.123233995736766e-17,-0.900968867902419
3,1949-04-30,9574.400187686086,0,1949,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
4,1949-05-31,11240.200163967907,0,1949,5,31,22,1,151,2,Spring,-0.8660254037844387,0.6234898018587336
5,1949-06-30,4199.300092980266,0,1949,6,30,26,3,181,2,Summer,-1.0,-0.900968867902419
6,1949-07-31,3651.4000919908285,0,1949,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
7,1949-08-31,3346.0000547915697,0,1949,8,31,35,2,243,3,Summer,-0.5000000000000004,-0.22252093395631434
8,1949-09-30,7433.400123171508,0,1949,9,30,39,4,273,3,Fall,-1.8369701987210297e-16,-0.9009688679024191
9,1949-10-31,18660.60044234246,0,1949,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
10,1949-11-30,36703.30057980865,0,1949,11,30,48,2,334,4,Fall,0.8660254037844384,-0.22252093395631434
11,1949-12-31,43778.700745366514,0,1949,12,31,52,5,365,4,Winter,1.0,-0.2225209339563146
12,1950-01-31,47950.500876910985,0,1950,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
13,1950-02-28,39990.50076831877,0,1950,2,28,9,1,59,1,Winter,0.5000000000000001,0.6234898018587336
14,1950-03-31,38937.80077494681,0,1950,3,31,13,4,90,1,Spring,6.123233995736766e-17,-0.9009688679024191
15,1950-04-30,19054.90025946498,0,1950,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
16,1950-05-31,7023.500130921602,0,1950,5,31,22,2,151,2,Spring,-0.8660254037844387,-0.22252093395631434
17,1950-06-30,6203.400083571672,0,1950,6,30,26,4,181,2,Summer,-1.0,-0.9009688679024191
18,1950-07-31,3338.9000539183617,0,1950,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
19,1950-08-31,5954.800063282251,0,1950,8,31,35,3,243,3,Summer,-0.5000000000000004,-0.900968867902419
20,1950-09-30,5817.000140532851,0,1950,9,30,39,5,273,3,Fall,-1.8369701987210297e-16,-0.2225209339563146
21,1950-10-31,50196.70082489401,0,1950,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
22,1950-11-30,37091.40066062659,0,1950,11,30,48,3,334,4,Fall,0.8660254037844384,-0.900968867902419
23,1950-12-31,43419.300662107766,0,1950,12,31,52,6,365,4,Winter,1.0,0.6234898018587334
24,1951-01-31,49656.20091954619,0,1951,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
25,1951-02-28,39971.800706252456,0,1951,2,28,9,2,59,1,Winter,0.5000000000000001,-0.22252093395631434
26,1951-03-31,25292.10044360161,0,1951,3,31,13,5,90,1,Spring,6.123233995736766e-17,-0.2225209339563146
27,1951-04-30,5628.400131389499,0,1951,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
28,1951-05-31,9620.100177749991,0,1951,5,31,22,3,151,2,Spring,-0.8660254037844387,-0.900968867902419
29,1951-06-30,889.1000188812613,0,1951,6,30,26,5,181,2,Summer,-1.0,-0.2225209339563146
30,1951-07-31,926.6000170633197,0,1951,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
31,1951-08-31,1905.200030580163,0,1951,8,31,35,4,243,3,Summer,-0.5000000000000004,-0.9009688679024191
32,1951-09-30,10424.600217059255,0,1951,9,30,39,6,273,3,Fall,-1.8369701987210297e-16,0.6234898018587334
33,1951-10-31,35455.700607441366,0,1951,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
34,1951-11-30,35460.40067732334,0,1951,11,30,48,4,334,4,Fall,0.8660254037844384,-0.9009688679024191
35,1951-12-31,36326.70062752068,0,1951,12,31,1,0,365,4,Winter,1.0,1.0
36,1952-01-31,36872.50069022179,0,1952,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
37,1952-02-29,23412.200365684927,0,1952,2,29,9,4,60,1,Winter,0.5000000000000001,-0.9009688679024191
38,1952-03-31,23799.800397984684,0,1952,3,31,14,0,91,1,Spring,6.123233995736766e-17,1.0
39,1952-04-30,9666.900172695518,0,1952,4,30,18,2,121,2,Spring,-0.4999999999999998,-0.22252093395631434
40,1952-05-31,6387.500143520534,0,1952,5,31,22,5,152,2,Spring,-0.8660254037844387,-0.2225209339563146
41,1952-06-30,10810.800228729844,0,1952,6,30,27,0,182,2,Summer,-1.0,1.0
42,1952-07-31,1239.6000104621053,0,1952,7,31,31,3,213,3,Summer,-0.8660254037844388,-0.900968867902419
43,1952-08-31,3702.400081820786,0,1952,8,31,35,6,244,3,Summer,-0.5000000000000004,0.6234898018587334
44,1952-09-30,3052.7000682875514,0,1952,9,30,40,1,274,3,Fall,-1.8369701987210297e-16,0.6234898018587336
45,1952-10-31,5625.300098709762,0,1952,10,31,44,4,305,4,Fall,0.5000000000000001,-0.9009688679024191
46,1952-11-30,10090.900159947574,0,1952,11,30,48,6,335,4,Fall,0.8660254037844384,0.6234898018587334
47,1952-12-31,45554.00082536042,0,1952,12,31,1,2,366,4,Winter,1.0,-0.22252093395631434
48,1953-01-31,81200.00141073763,0,1953,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
49,1953-02-28,26153.30050816387,0,1953,2,28,9,5,59,1,Winter,0.5000000000000001,-0.2225209339563146
50,1953-03-31,26417.90035251528,0,1953,3,31,14,1,90,1,Spring,6.123233995736766e-17,0.6234898018587336
51,1953-04-30,13665.900211669505,0,1953,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
52,1953-05-31,18319.50036586821,0,1953,5,31,22,6,151,2,Spring,-0.8660254037844387,0.6234898018587334
53,1953-06-30,9769.900176778436,0,1953,6,30,27,1,181,2,Summer,-1.0,0.6234898018587336
54,1953-07-31,2015.6000357940793,0,1953,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
55,1953-08-31,7552.500087365508,0,1953,8,31,36,0,243,3,Summer,-0.5000000000000004,1.0
56,1953-09-30,10006.900146238506,0,1953,9,30,40,2,273,3,Fall,-1.8369701987210297e-16,-0.22252093395631434
57,1953-10-31,20262.40043502301,0,1953,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
58,1953-11-30,41381.700794018805,0,1953,11,30,49,0,334,4,Fall,0.8660254037844384,1.0
59,1953-12-31,47490.000735268,0,1953,12,31,53,3,365,4,Winter,1.0,-0.900968867902419
60,1954-01-31,58974.9011676386,0,1954,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
61,1954-02-28,34718.500509150326,0,1954,2,28,8,6,59,1,Winter,0.5000000000000001,0.6234898018587334
62,1954-03-31,16764.600295506418,0,1954,3,31,13,2,90,1,Spring,6.123233995736766e-17,-0.22252093395631434
63,1954-04-30,17410.50032825023,0,1954,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
64,1954-05-31,5492.800079219043,0,1954,5,31,22,0,151,2,Spring,-0.8660254037844387,1.0
65,1954-06-30,12883.400262884796,0,1954,6,30,26,2,181,2,Summer,-1.0,-0.22252093395631434
66,1954-07-31,4717.200086213648,0,1954,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
67,1954-08-31,8430.300114259124,0,1954,8,31,35,1,243,3,Summer,-0.5000000000000004,0.6234898018587336
68,1954-09-30,7831.000132240355,0,1954,9,30,39,3,273,3,Fall,-1.8369701987210297e-16,-0.900968867902419
69,1954-10-31,17206.2003582865,0,1954,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
70,1954-11-30,37810.10077863932,0,1954,11,30,48,1,334,4,Fall,0.8660254037844384,0.6234898018587336
71,1954-12-31,37300.00072544813,0,1954,12,31,52,4,365,4,Winter,1.0,-0.9009688679024191
72,1955-01-31,20518.800411850214,0,1955,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
73,1955-02-28,20664.10029538721,0,1955,2,28,9,0,59,1,Winter,0.5000000000000001,1.0
74,1955-03-31,29029.700504228473,0,1955,3,31,13,3,90,1,Spring,6.123233995736766e-17,-0.900968867902419
75,1955-04-30,26604.10052448511,0,1955,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
76,1955-05-31,6657.20015155524,0,1955,5,31,22,1,151,2,Spring,-0.8660254037844387,0.6234898018587336
77,1955-06-30,6543.000120088458,0,1955,6,30,26,3,181,2,Summer,-1.0,-0.900968867902419
78,1955-07-31,7684.600130751729,0,1955,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
79,1955-08-31,582.6000197529793,0,1955,8,31,35,2,243,3,Summer,-0.5000000000000004,-0.22252093395631434
80,1955-09-30,8357.300107136369,0,1955,9,30,39,4,273,3,Fall,-1.8369701987210297e-16,-0.9009688679024191
81,1955-10-31,35326.50064985454,0,1955,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
82,1955-11-30,43899.20072448999,0,1955,11,30,48,2,334,4,Fall,0.8660254037844384,-0.22252093395631434
83,1955-12-31,57561.901100061834,0,1955,12,31,52,5,365,4,Winter,1.0,-0.2225209339563146
