,time,location_cluster,precipitation_diff,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
0,1949-04-30,0,5.842202699905204,1949,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
1,1949-04-30,1,0.6728773586084082,1949,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
2,1949-04-30,2,2.137655122614546,1949,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
3,1949-07-31,0,-6.352048210849036,1949,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
4,1949-07-31,1,-0.4050344062366823,1949,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
5,1949-07-31,2,-2.3907395271440057,1949,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
6,1949-10-31,1,-0.3768518567995092,1949,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
7,1949-10-31,2,0.8058352575358216,1949,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
8,1949-10-31,0,0.9781758290516578,1949,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
9,1950-01-31,2,3.070208862691359,1950,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
10,1950-01-31,0,9.356569147616316,1950,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
11,1950-01-31,1,1.3917203681244528,1950,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
12,1950-04-30,2,-0.8766206472712113,1950,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
13,1950-04-30,0,-2.565831365236992,1950,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
14,1950-04-30,1,-0.4488978234983152,1950,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
15,1950-07-31,2,-2.3254818106915565,1950,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
16,1950-07-31,1,-0.35905978467546373,1950,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
17,1950-07-31,0,-8.007580915828653,1950,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
18,1950-10-31,1,-0.03470209446774164,1950,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
19,1950-10-31,2,1.229805513121,1950,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
20,1950-10-31,0,4.2913705822587405,1950,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
21,1951-01-31,1,1.197866364321719,1951,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
22,1951-01-31,2,2.2961384809269085,1951,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
23,1951-01-31,0,6.445973649675939,1951,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
24,1951-04-30,2,-2.3303557637594934,1951,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
25,1951-04-30,0,-5.376651496026594,1951,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
26,1951-04-30,1,-0.7837826639259009,1951,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
27,1951-07-31,0,-5.845569867733895,1951,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
28,1951-07-31,1,-0.6206859605952599,1951,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
29,1951-07-31,2,-1.4037404131756148,1951,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
30,1951-10-31,0,3.435699493514765,1951,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
31,1951-10-31,1,0.10072464101772372,1951,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
32,1951-10-31,2,1.4301344680789543,1951,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
33,1952-01-31,1,1.1287305631829296,1952,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
34,1952-01-31,2,1.247640176098666,1952,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
35,1952-01-31,0,5.75369575992297,1952,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
36,1952-04-30,2,-2.1981401295179275,1952,4,30,18,2,121,2,Spring,-0.4999999999999998,-0.22252093395631434
37,1952-04-30,0,-4.774737758254917,1952,4,30,18,2,121,2,Spring,-0.4999999999999998,-0.22252093395631434
38,1952-04-30,1,-0.6867460025322569,1952,4,30,18,2,121,2,Spring,-0.4999999999999998,-0.22252093395631434
39,1952-07-31,2,-0.3087105971852926,1952,7,31,31,3,213,3,Summer,-0.8660254037844388,-0.900968867902419
40,1952-07-31,0,-3.7528332826102373,1952,7,31,31,3,213,3,Summer,-0.8660254037844388,-0.900968867902419
41,1952-07-31,1,0.004741156645634126,1952,7,31,31,3,213,3,Summer,-0.8660254037844388,-0.900968867902419
42,1952-10-31,0,-0.5725425457367093,1952,10,31,44,4,305,4,Fall,0.5000000000000001,-0.9009688679024191
43,1952-10-31,1,-0.9911835910157529,1952,10,31,44,4,305,4,Fall,0.5000000000000001,-0.9009688679024191
44,1952-10-31,2,-0.9084954368658108,1952,10,31,44,4,305,4,Fall,0.5000000000000001,-0.9009688679024191
45,1953-01-31,1,1.636084302963906,1953,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
46,1953-01-31,2,4.198655684391203,1953,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
47,1953-01-31,0,11.76413063773417,1953,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
48,1953-04-30,1,-0.3718176963487545,1953,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
49,1953-04-30,2,-2.2604188557155065,1953,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
50,1953-04-30,0,-6.462673917920163,1953,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
51,1953-07-31,1,-0.07614259106876409,1953,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
52,1953-07-31,0,-3.626163682987672,1953,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
53,1953-07-31,2,-0.7317293738171362,1953,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
54,1953-10-31,0,0.729376189998705,1953,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
55,1953-10-31,2,-0.24804062011291528,1953,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
56,1953-10-31,1,-0.9722893352565815,1953,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
57,1954-01-31,0,10.399319662410054,1954,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
58,1954-01-31,2,3.5174914860343502,1954,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
59,1954-01-31,1,1.3886205303226258,1954,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
60,1954-04-30,0,-7.242981601706546,1954,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
61,1954-04-30,2,-2.6747557982164047,1954,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
62,1954-04-30,1,-0.8575835327066865,1954,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
63,1954-07-31,0,-4.548436382093823,1954,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
64,1954-07-31,2,-0.7675211567402977,1954,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
65,1954-07-31,1,-0.1965764444781869,1954,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
66,1954-10-31,2,0.11603261568653878,1954,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
67,1954-10-31,1,-0.37479871823499905,1954,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
68,1954-10-31,0,0.9805387690423908,1954,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
69,1955-01-31,1,0.5400966265585256,1955,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
70,1955-01-31,2,1.5797483070904825,1955,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
71,1955-01-31,0,5.875368743965188,1955,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
72,1955-04-30,1,0.2512119557878514,1955,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
73,1955-04-30,2,-0.2164767715719611,1955,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
74,1955-04-30,0,-1.5840417033423035,1955,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
75,1955-07-31,2,-1.3028453347337274,1955,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
76,1955-07-31,0,-5.480618175064336,1955,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
77,1955-07-31,1,-0.470602726825166,1955,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
78,1955-10-31,0,2.2099811317909697,1955,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
79,1955-10-31,1,-0.16262748518331804,1955,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
80,1955-10-31,2,0.3880720845694299,1955,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
81,1956-01-31,0,10.497211928217055,1956,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
82,1956-01-31,1,2.538137459915513,1956,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
83,1956-01-31,2,3.346295825022462,1956,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
84,1956-04-30,0,-7.860118818738082,1956,4,30,18,0,121,2,Spring,-0.4999999999999998,1.0
85,1956-04-30,2,-3.293749422121612,1956,4,30,18,0,121,2,Spring,-0.4999999999999998,1.0
86,1956-04-30,1,-2.1449681299066654,1956,4,30,18,0,121,2,Spring,-0.4999999999999998,1.0
87,1956-07-31,2,-0.6897174642565986,1956,7,31,31,1,213,3,Summer,-0.8660254037844388,0.6234898018587336
88,1956-07-31,0,-4.756941912628083,1956,7,31,31,1,213,3,Summer,-0.8660254037844388,0.6234898018587336
