,time,location_cluster,precipitation_diff,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
0,1949-04-30,0,2.0000001415610313,1949,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
1,1949-04-30,1,0.0,1949,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
2,1949-04-30,2,0.0,1949,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
3,1949-07-31,0,-2.1000001430511475,1949,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
4,1949-07-31,1,0.0,1949,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
5,1949-07-31,2,0.0,1949,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
6,1949-10-31,1,0.0,1949,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
7,1949-10-31,2,0.0,1949,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
8,1949-10-31,0,0.0,1949,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
9,1950-01-31,2,0.5,1950,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
10,1950-01-31,0,5.400000095367432,1950,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
11,1950-01-31,1,0.0,1950,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
12,1950-04-30,2,-0.09999999403953552,1950,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
13,1950-04-30,0,-1.0999999046325684,1950,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
14,1950-04-30,1,0.0,1950,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
15,1950-07-31,2,-0.4000000059604645,1950,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
16,1950-07-31,1,0.0,1950,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
17,1950-07-31,0,-4.300000190734863,1950,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
18,1950-10-31,1,0.0,1950,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
19,1950-10-31,2,0.0,1950,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
