,time,location_cluster,precipitation_diff,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
0,1949-02-28,0,7.600802353153284,1949,2,28,9,0,59,1,Winter,0.5000000000000001,1.0
1,1949-02-28,2,0.9080560365043198,1949,2,28,9,0,59,1,Winter,0.5000000000000001,1.0
2,1949-02-28,1,0.11117533878217495,1949,2,28,9,0,59,1,Winter,0.5000000000000001,1.0
3,1949-03-31,0,-5.2008023546434,1949,3,31,13,3,90,1,Spring,6.123233995736766e-17,-0.900968867902419
4,1949-03-31,2,-0.8958306361844458,1949,3,31,13,3,90,1,Spring,6.123233995736766e-17,-0.900968867902419
5,1949-03-31,1,-0.11117533878217495,1949,3,31,13,3,90,1,Spring,6.123233995736766e-17,-0.900968867902419
6,1949-04-30,0,-2.5,1949,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
7,1949-04-30,2,-0.012225400319874,1949,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
8,1949-04-30,1,0.0,1949,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
9,1949-05-31,0,0.0,1949,5,31,22,1,151,2,Spring,-0.8660254037844387,0.6234898018587336
10,1949-05-31,2,0.0,1949,5,31,22,1,151,2,Spring,-0.8660254037844387,0.6234898018587336
11,1949-05-31,1,0.0,1949,5,31,22,1,151,2,Spring,-0.8660254037844387,0.6234898018587336
12,1949-06-30,2,0.0,1949,6,30,26,3,181,2,Summer,-1.0,-0.900968867902419
13,1949-06-30,1,0.0,1949,6,30,26,3,181,2,Summer,-1.0,-0.900968867902419
14,1949-06-30,0,0.0,1949,6,30,26,3,181,2,Summer,-1.0,-0.900968867902419
15,1949-07-31,1,0.0,1949,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
16,1949-07-31,0,0.0,1949,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
17,1949-07-31,2,0.0,1949,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
18,1949-08-31,1,0.0,1949,8,31,35,2,243,3,Summer,-0.5000000000000004,-0.22252093395631434
19,1949-08-31,0,0.0,1949,8,31,35,2,243,3,Summer,-0.5000000000000004,-0.22252093395631434
20,1949-08-31,2,0.0,1949,8,31,35,2,243,3,Summer,-0.5000000000000004,-0.22252093395631434
21,1949-09-30,1,0.0,1949,9,30,39,4,273,3,Fall,-1.8369701987210297e-16,-0.9009688679024191
22,1949-09-30,0,0.0,1949,9,30,39,4,273,3,Fall,-1.8369701987210297e-16,-0.9009688679024191
23,1949-09-30,2,0.0,1949,9,30,39,4,273,3,Fall,-1.8369701987210297e-16,-0.9009688679024191
24,1949-10-31,1,0.0,1949,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
25,1949-10-31,2,0.0,1949,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
26,1949-10-31,0,0.1000000014901161,1949,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
27,1949-11-30,2,0.1000000014901161,1949,11,30,48,2,334,4,Fall,0.8660254037844384,-0.22252093395631434
28,1949-11-30,1,0.0,1949,11,30,48,2,334,4,Fall,0.8660254037844384,-0.22252093395631434
29,1949-11-30,0,1.5500000342726707,1949,11,30,48,2,334,4,Fall,0.8660254037844384,-0.22252093395631434
30,1949-12-31,2,0.30000000447034836,1949,12,31,52,5,365,4,Winter,1.0,-0.2225209339563146
31,1949-12-31,1,0.0,1949,12,31,52,5,365,4,Winter,1.0,-0.2225209339563146
32,1949-12-31,0,3.7500000596046448,1949,12,31,52,5,365,4,Winter,1.0,-0.2225209339563146
33,1950-01-31,2,0.5000000298023224,1950,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
34,1950-01-31,1,0.699999988079071,1950,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
35,1950-01-31,0,1.9000000953674316,1950,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
36,1950-02-28,2,-0.050000011920928955,1950,2,28,9,1,59,1,Winter,0.5000000000000001,0.6234898018587336
37,1950-02-28,1,-0.699999988079071,1950,2,28,9,1,59,1,Winter,0.5000000000000001,0.6234898018587336
38,1950-02-28,0,-0.5999999046325684,1950,2,28,9,1,59,1,Winter,0.5000000000000001,0.6234898018587336
39,1950-03-31,1,0.5,1950,3,31,13,4,90,1,Spring,6.123233995736766e-17,-0.9009688679024191
40,1950-03-31,0,-0.6000003814697266,1950,3,31,13,4,90,1,Spring,6.123233995736766e-17,-0.9009688679024191
41,1950-03-31,2,0.1499999761581421,1950,3,31,13,4,90,1,Spring,6.123233995736766e-17,-0.9009688679024191
42,1950-04-30,0,-4.299999833106995,1950,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
43,1950-04-30,2,-1.0,1950,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
44,1950-04-30,1,-0.5,1950,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
45,1950-05-31,0,-1.8000000715255735,1950,5,31,22,2,151,2,Spring,-0.8660254037844387,-0.22252093395631434
46,1950-05-31,2,0.0,1950,5,31,22,2,151,2,Spring,-0.8660254037844387,-0.22252093395631434
47,1950-05-31,1,0.0,1950,5,31,22,2,151,2,Spring,-0.8660254037844387,-0.22252093395631434
48,1950-06-30,0,0.0,1950,6,30,26,4,181,2,Summer,-1.0,-0.9009688679024191
49,1950-06-30,2,0.0,1950,6,30,26,4,181,2,Summer,-1.0,-0.9009688679024191
50,1950-06-30,1,0.0,1950,6,30,26,4,181,2,Summer,-1.0,-0.9009688679024191
51,1950-07-31,2,0.0,1950,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
52,1950-07-31,1,0.0,1950,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
53,1950-07-31,0,0.0,1950,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
54,1950-08-31,1,0.0,1950,8,31,35,3,243,3,Summer,-0.5000000000000004,-0.900968867902419
55,1950-08-31,0,0.0,1950,8,31,35,3,243,3,Summer,-0.5000000000000004,-0.900968867902419
56,1950-08-31,2,0.0,1950,8,31,35,3,243,3,Summer,-0.5000000000000004,-0.900968867902419
57,1950-09-30,1,0.0,1950,9,30,39,5,273,3,Fall,-1.8369701987210297e-16,-0.2225209339563146
58,1950-09-30,0,0.0,1950,9,30,39,5,273,3,Fall,-1.8369701987210297e-16,-0.2225209339563146
59,1950-09-30,2,0.0,1950,9,30,39,5,273,3,Fall,-1.8369701987210297e-16,-0.2225209339563146
60,1950-10-31,1,0.0,1950,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
61,1950-10-31,0,6.200000286102295,1950,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
62,1950-10-31,2,1.899999976158142,1950,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
63,1950-11-30,1,0.0,1950,11,30,48,3,334,4,Fall,0.8660254037844384,-0.900968867902419
64,1950-11-30,0,-1.3000001907348633,1950,11,30,48,3,334,4,Fall,0.8660254037844384,-0.900968867902419
65,1950-11-30,2,-1.0999999642372131,1950,11,30,48,3,334,4,Fall,0.8660254037844384,-0.900968867902419
66,1950-12-31,0,3.200000286102295,1950,12,31,52,6,365,4,Winter,1.0,0.6234898018587334
67,1950-12-31,2,0.75,1950,12,31,52,6,365,4,Winter,1.0,0.6234898018587334
68,1950-12-31,1,0.2000000029802322,1950,12,31,52,6,365,4,Winter,1.0,0.6234898018587334
69,1951-01-31,2,-1.050000011920929,1951,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
70,1951-01-31,1,-0.1000000014901161,1951,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
71,1951-01-31,0,-1.700000286102295,1951,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
72,1951-02-28,2,-0.3999999985098839,1951,2,28,9,2,59,1,Winter,0.5000000000000001,-0.22252093395631434
73,1951-02-28,1,-0.1000000014901161,1951,2,28,9,2,59,1,Winter,0.5000000000000001,-0.22252093395631434
74,1951-02-28,0,-2.0,1951,2,28,9,2,59,1,Winter,0.5000000000000001,-0.22252093395631434
75,1951-03-31,2,-0.1000000014901161,1951,3,31,13,5,90,1,Spring,6.123233995736766e-17,-0.2225209339563146
76,1951-03-31,1,0.0,1951,3,31,13,5,90,1,Spring,6.123233995736766e-17,-0.2225209339563146
77,1951-03-31,0,-1.7000000476837158,1951,3,31,13,5,90,1,Spring,6.123233995736766e-17,-0.2225209339563146
