,time,precipitation_diff,location_cluster,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
0,1949-01-31,1.010182559735993,2,1949,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
1,1949-02-28,0.0,2,1949,2,28,9,0,59,1,Winter,0.5000000000000001,1.0
2,1949-03-31,0.0,2,1949,3,31,13,3,90,1,Spring,6.123233995736766e-17,-0.900968867902419
3,1949-04-30,0.800000011920929,2,1949,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
4,1949-05-31,7.800000369548796,2,1949,5,31,22,1,151,2,Spring,-0.8660254037844387,0.6234898018587336
5,1949-06-30,-8.600000381469727,2,1949,6,30,26,3,181,2,Summer,-1.0,-0.900968867902419
6,1949-07-31,0.0,2,1949,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
7,1949-08-31,0.0,2,1949,8,31,35,2,243,3,Summer,-0.5000000000000004,-0.22252093395631434
8,1949-09-30,1.100000023841865,2,1949,9,30,39,4,273,3,Fall,-1.8369701987210297e-16,-0.9009688679024191
9,1949-10-31,-1.100000023841858,2,1949,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
10,1949-11-30,12.699999809265135,2,1949,11,30,48,2,334,4,Fall,0.8660254037844384,-0.22252093395631434
11,1949-12-31,-12.399999797344197,2,1949,12,31,52,5,365,4,Winter,1.0,-0.2225209339563146
12,1950-01-31,-0.30000001192092896,2,1950,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
13,1950-02-28,0.0,2,1950,2,28,9,1,59,1,Winter,0.5000000000000001,0.6234898018587336
14,1950-03-31,16.80000114440918,2,1950,3,31,13,4,90,1,Spring,6.123233995736766e-17,-0.9009688679024191
15,1950-04-30,-16.80000114440918,2,1950,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
16,1950-05-31,0.0,2,1950,5,31,22,2,151,2,Spring,-0.8660254037844387,-0.22252093395631434
17,1950-06-30,2.220446049250313e-16,2,1950,6,30,26,4,181,2,Summer,-1.0,-0.9009688679024191
18,1950-07-31,0.0,2,1950,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
19,1950-08-31,0.0,2,1950,8,31,35,3,243,3,Summer,-0.5000000000000004,-0.900968867902419
20,1950-09-30,0.0,2,1950,9,30,39,5,273,3,Fall,-1.8369701987210297e-16,-0.2225209339563146
21,1950-10-31,-1.7763568394002505e-15,2,1950,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
22,1950-11-30,5.300000190734863,2,1950,11,30,48,3,334,4,Fall,0.8660254037844384,-0.900968867902419
23,1950-12-31,-5.300000190734863,2,1950,12,31,52,6,365,4,Winter,1.0,0.6234898018587334
24,1951-01-31,-7.105427357601002e-15,2,1951,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
25,1951-02-28,-4.440892098500626e-16,2,1951,2,28,9,2,59,1,Winter,0.5000000000000001,-0.22252093395631434
26,1951-03-31,2.7755575615628914e-17,2,1951,3,31,13,5,90,1,Spring,6.123233995736766e-17,-0.2225209339563146
27,1951-04-30,-1.7763568394002505e-15,2,1951,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
28,1951-05-31,0.0,2,1951,5,31,22,3,151,2,Spring,-0.8660254037844387,-0.900968867902419
29,1951-06-30,1.3877787807814457e-17,2,1951,6,30,26,5,181,2,Summer,-1.0,-0.2225209339563146
30,1951-07-31,0.0,2,1951,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
31,1951-08-31,0.10000000149011612,2,1951,8,31,35,4,243,3,Summer,-0.5000000000000004,-0.9009688679024191
32,1951-09-30,22.100000761449337,2,1951,9,30,39,6,273,3,Fall,-1.8369701987210297e-16,0.6234898018587334
33,1951-10-31,-22.200000762939442,2,1951,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
34,1951-11-30,18.399999618530277,2,1951,11,30,48,4,334,4,Fall,0.8660254037844384,-0.9009688679024191
35,1951-12-31,-18.19999961555004,2,1951,12,31,1,0,365,4,Winter,1.0,1.0
36,1952-01-31,6.1000001877546275,2,1952,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
37,1952-02-29,-1.000000000000001,2,1952,2,29,9,4,60,1,Winter,0.5000000000000001,-0.9009688679024191
38,1952-03-31,-0.7000002861022949,2,1952,3,31,14,0,91,1,Spring,6.123233995736766e-17,1.0
39,1952-04-30,5.500000476837158,2,1952,4,30,18,2,121,2,Spring,-0.4999999999999998,-0.22252093395631434
40,1952-05-31,-10.10000038146973,2,1952,5,31,22,5,152,2,Spring,-0.8660254037844387,-0.2225209339563146
41,1952-06-30,3.4000000953674383,2,1952,6,30,27,0,182,2,Summer,-1.0,1.0
42,1952-07-31,-3.4000000953674316,2,1952,7,31,31,3,213,3,Summer,-0.8660254037844388,-0.900968867902419
43,1952-08-31,-5.551115123125783e-17,2,1952,8,31,35,6,244,3,Summer,-0.5000000000000004,0.6234898018587334
44,1952-09-30,-2.7755575615628914e-17,2,1952,9,30,40,1,274,3,Fall,-1.8369701987210297e-16,0.6234898018587336
45,1952-10-31,-1.7763568394002505e-15,2,1952,10,31,44,4,305,4,Fall,0.5000000000000001,-0.9009688679024191
46,1952-11-30,0.0,2,1952,11,30,48,6,335,4,Fall,0.8660254037844384,0.6234898018587334
47,1952-12-31,2.2999999523162824,2,1952,12,31,1,2,366,4,Winter,1.0,-0.22252093395631434
48,1953-01-31,2.400000333786018,2,1953,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
49,1953-02-28,13.199999332427979,2,1953,2,28,9,5,59,1,Winter,0.5000000000000001,-0.2225209339563146
50,1953-03-31,-17.199999630451202,2,1953,3,31,14,1,90,1,Spring,6.123233995736766e-17,0.6234898018587336
51,1953-04-30,10.999999821186066,2,1953,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
52,1953-05-31,-10.199999809265137,2,1953,5,31,22,6,151,2,Spring,-0.8660254037844387,0.6234898018587334
53,1953-06-30,1.0,2,1953,6,30,27,1,181,2,Summer,-1.0,0.6234898018587336
54,1953-07-31,-2.5,2,1953,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
55,1953-08-31,-3.5388358909926865e-15,2,1953,8,31,36,0,243,3,Summer,-0.5000000000000004,1.0
56,1953-09-30,0.0,2,1953,9,30,40,2,273,3,Fall,-1.8369701987210297e-16,-0.22252093395631434
57,1953-10-31,-1.4210854715202004e-14,2,1953,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
58,1953-11-30,0.0,2,1953,11,30,49,0,334,4,Fall,0.8660254037844384,1.0
59,1953-12-31,0.0,2,1953,12,31,53,3,365,4,Winter,1.0,-0.900968867902419
60,1954-01-31,0.8000000119209307,2,1954,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
61,1954-02-28,-0.800000011920929,2,1954,2,28,8,6,59,1,Winter,0.5000000000000001,0.6234898018587334
62,1954-03-31,0.0,2,1954,3,31,13,2,90,1,Spring,6.123233995736766e-17,-0.22252093395631434
63,1954-04-30,0.0,2,1954,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
64,1954-05-31,9.80000019073486,2,1954,5,31,22,0,151,2,Spring,-0.8660254037844387,1.0
65,1954-06-30,-9.000000178813941,2,1954,6,30,26,2,181,2,Summer,-1.0,-0.22252093395631434
66,1954-07-31,-0.8000000119209325,2,1954,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
67,1954-08-31,10.800000190734863,2,1954,8,31,35,1,243,3,Summer,-0.5000000000000004,0.6234898018587336
68,1954-09-30,-10.800000190734865,2,1954,9,30,39,3,273,3,Fall,-1.8369701987210297e-16,-0.900968867902419
69,1954-10-31,-1.7763568394002505e-15,2,1954,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
70,1954-11-30,-1.4224732503009818e-14,2,1954,11,30,48,1,334,4,Fall,0.8660254037844384,0.6234898018587336
71,1954-12-31,6.700000286102295,2,1954,12,31,52,4,365,4,Winter,1.0,-0.9009688679024191
72,1955-01-31,-2.5,2,1955,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
73,1955-02-28,9.599999904632563,2,1955,2,28,9,0,59,1,Winter,0.5000000000000001,1.0
74,1955-03-31,-13.500000178813938,2,1955,3,31,13,3,90,1,Spring,6.123233995736766e-17,-0.900968867902419
75,1955-04-30,-0.3000000119209236,2,1955,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
76,1955-05-31,0.30000001192092896,2,1955,5,31,22,1,151,2,Spring,-0.8660254037844387,0.6234898018587336
77,1955-06-30,0.3000000119209272,2,1955,6,30,26,3,181,2,Summer,-1.0,-0.900968867902419
78,1955-07-31,-0.6000000238418655,2,1955,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
79,1955-08-31,0.0,2,1955,8,31,35,2,243,3,Summer,-0.5000000000000004,-0.22252093395631434
80,1955-09-30,0.6000000238418579,2,1955,9,30,39,4,273,3,Fall,-1.8369701987210297e-16,-0.9009688679024191
81,1955-10-31,6.100000262260437,2,1955,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
82,1955-11-30,0.09999990463257014,2,1955,11,30,48,2,334,4,Fall,0.8660254037844384,-0.22252093395631434
83,1955-12-31,-6.8000001907348615,2,1955,12,31,52,5,365,4,Winter,1.0,-0.2225209339563146
84,1956-01-31,-3.552713678800501e-15,2,1956,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
85,1956-02-29,0.4000000059604645,2,1956,2,29,9,2,60,1,Winter,0.5000000000000001,-0.22252093395631434
86,1956-03-31,8.000000566244125,2,1956,3,31,13,5,91,1,Spring,6.123233995736766e-17,-0.2225209339563146
87,1956-04-30,-8.40000057220459,2,1956,4,30,18,0,121,2,Spring,-0.4999999999999998,1.0
88,1956-05-31,-2.220446049250313e-16,2,1956,5,31,22,3,152,2,Spring,-0.8660254037844387,-0.900968867902419
89,1956-06-30,0.0,2,1956,6,30,26,5,182,2,Summer,-1.0,-0.2225209339563146
90,1956-07-31,0.0,2,1956,7,31,31,1,213,3,Summer,-0.8660254037844388,0.6234898018587336
91,1956-08-31,0.0,2,1956,8,31,35,4,244,3,Summer,-0.5000000000000004,-0.9009688679024191
92,1956-09-30,4.200000286102295,2,1956,9,30,39,6,274,3,Fall,-1.8369701987210297e-16,0.6234898018587334
93,1956-10-31,-4.200000286102281,2,1956,10,31,44,2,305,4,Fall,0.5000000000000001,-0.22252093395631434
94,1956-11-30,1.3877787807814457e-17,2,1956,11,30,48,4,335,4,Fall,0.8660254037844384,-0.9009688679024191
95,1956-12-31,2.299999952316297,2,1956,12,31,1,0,366,4,Winter,1.0,1.0
96,1957-01-31,11.800000429153444,2,1957,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
97,1957-02-28,-14.100000381469712,2,1957,2,28,9,3,59,1,Winter,0.5000000000000001,-0.900968867902419
98,1957-03-31,21.600000381469727,2,1957,3,31,13,6,90,1,Spring,6.123233995736766e-17,0.6234898018587334
99,1957-04-30,-21.600000381469727,2,1957,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
100,1957-05-31,-1.7763568394002505e-15,2,1957,5,31,22,4,151,2,Spring,-0.8660254037844387,-0.9009688679024191
101,1957-06-30,0.0,2,1957,6,30,26,6,181,2,Summer,-1.0,0.6234898018587334
102,1957-07-31,0.0,2,1957,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
103,1957-08-31,0.0,2,1957,8,31,35,5,243,3,Summer,-0.5000000000000004,-0.2225209339563146
104,1957-09-30,-1.7763568394002505e-15,2,1957,9,30,40,0,273,3,Fall,-1.8369701987210297e-16,1.0
105,1957-10-31,0.0,2,1957,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
106,1957-11-30,-3.524958103184872e-15,2,1957,11,30,48,5,334,4,Fall,0.8660254037844384,-0.2225209339563146
107,1957-12-31,0.0,2,1957,12,31,1,1,365,4,Winter,1.0,0.6234898018587336
108,1958-01-31,0.10000000149011257,2,1958,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
109,1958-02-28,-0.10000000149011612,2,1958,2,28,9,4,59,1,Winter,0.5000000000000001,-0.9009688679024191
110,1958-03-31,0.5,2,1958,3,31,14,0,90,1,Spring,6.123233995736766e-17,1.0
111,1958-04-30,-0.5000000000000018,2,1958,4,30,18,2,120,2,Spring,-0.4999999999999998,-0.22252093395631434
112,1958-05-31,4.5,2,1958,5,31,22,5,151,2,Spring,-0.8660254037844387,-0.2225209339563146
113,1958-06-30,-4.499999999999993,2,1958,6,30,27,0,181,2,Summer,-1.0,1.0
114,1958-07-31,0.0,2,1958,7,31,31,3,212,3,Summer,-0.8660254037844388,-0.900968867902419
115,1958-08-31,0.0,2,1958,8,31,35,6,243,3,Summer,-0.5000000000000004,0.6234898018587334
116,1958-09-30,3.552713678800501e-15,2,1958,9,30,40,1,273,3,Fall,-1.8369701987210297e-16,0.6234898018587336
117,1958-10-31,5.551115123125783e-17,2,1958,10,31,44,4,304,4,Fall,0.5000000000000001,-0.9009688679024191
118,1958-11-30,-1.7763568394002505e-14,2,1958,11,30,48,6,334,4,Fall,0.8660254037844384,0.6234898018587334
119,1958-12-31,0.4000000059604716,2,1958,12,31,1,2,365,4,Winter,1.0,-0.22252093395631434
120,1959-01-31,7.000000089406967,2,1959,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
121,1959-02-28,-7.3000000938773155,2,1959,2,28,9,5,59,1,Winter,0.5000000000000001,-0.2225209339563146
122,1959-03-31,4.9999999031424505,2,1959,3,31,14,1,90,1,Spring,6.123233995736766e-17,0.6234898018587336
123,1959-04-30,9.500000476837165,2,1959,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
124,1959-05-31,-14.600000381469727,2,1959,5,31,22,6,151,2,Spring,-0.8660254037844387,0.6234898018587334
125,1959-06-30,-3.3306690738754696e-15,2,1959,6,30,27,1,181,2,Summer,-1.0,0.6234898018587336
126,1959-07-31,-1.790234627208065e-15,2,1959,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
127,1959-08-31,5.400000095367431,2,1959,8,31,36,0,243,3,Summer,-0.5000000000000004,1.0
128,1959-09-30,-1.6000001430511492,2,1959,9,30,40,2,273,3,Fall,-1.8369701987210297e-16,-0.22252093395631434
129,1959-10-31,-3.799999952316284,2,1959,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
