Cluster,Model,Best Parameters,Metrics,Best Metric Score
0,SARIMA,"(1, 1, 2, 1, 0, 1)",AIC,48.22213515
1,SARIMA,"(2, 1, 1, 1, 0, 1)",AIC,256.389766
2,SARIMA,"(1, 1, 1, 0, 1, 1)",AIC,419.0582274
0,SARIMA,"(1, 1, 1, 1, 1, 1, 4)",AIC,739.0871455
1,SARIMA,"(2, 1, 1, 1, 1, 1, 4)",AIC,256.9789229
2,SARIMA,"(1, 1, 1, 1, 1, 1, 4)",AIC,420.530629
0,SARIMA,"(2, 0, 2, 1, 1, 1, 4)",AIC,725.2728906
1,SARIMA,"(0, 0, 0, 1, 1, 1, 4)",AIC,246.4911543
2,SARIMA,"(0, 0, 0, 1, 1, 1, 4)",AIC,407.4260472
0,SARIMA,"(1, 1, 2, 1, 0, 1, 4)",AIC,48.22213515
1,SARIMA,"(0, 0, 0, 0, 1, 1, 4)",AIC,245.0305215
2,SARIMA,"(2, 0, 2, 0, 1, 1, 4)",AIC,406.1237245
0,ARIMA,"(2, 0, 2)",AIC,760.9970853
1,ARIMA,"(2, 0, 2)",AIC,268.6533648
2,ARIMA,"(2, 0, 2)",AIC,453.6657468
0,ARIMA,"(2, 0, 2)",AIC,760.9970853
1,ARIMA,"(4, 0, 2)",AIC,260.7094553
2,ARIMA,"(4, 0, 2)",AIC,447.1384436
0,ARIMA,"(0, 0, 1)",RMSE,3.695258814
1,ARIMA,"(4, 0, 2)",RMSE,0.582319592
2,ARIMA,"(0, 0, 1)",RMSE,1.261079882
0,ARIMA,"(0, 0, 1)",RMSE,3.695258814
1,ARIMA,"(0, 0, 1)",RMSE,0.594656856
2,ARIMA,"(0, 0, 1)",RMSE,1.261079882
0,SARIMA,"(2, 1, 2, 1, 1, 1, 4)",RMSE,4.946349624
1,SARIMA,"(2, 1, 1, 1, 1, 1, 4)",RMSE,0.682764751
2,SARIMA,"(2, 1, 2, 1, 1, 1, 4)",RMSE,1.692265393
0,Holt-Winters,"Best Trend = add, Best Seasonal = add",RMSE,1.630482669389424
1,Holt-Winters,"Best Trend = add, Best Seasonal = add",RMSE,0.4962122579151596
2,Holt-Winters,"Best Trend = mul, Best Seasonal = mul",RMSE,0.6701930842691216
0,ARIMA with Diffencing,"(2, 0, 2)",AIC,313.7894278472204
1,ARIMA with Diffencing,"(2, 0, 2)",AIC,-78.29909951359794
2,ARIMA with Diffencing,"(2, 0, 2)",AIC,107.47086984212928
0,ARIMA with Diffencing,"(2, 0, 2)",AIC,313.7894278472204
1,ARIMA with Diffencing,"(2, 0, 2)",AIC,-78.29909951359794
2,ARIMA with Diffencing,"(2, 0, 2)",AIC,107.47086984212928
0,ARIMA,"(0, 0, 1)",RMSE,1.1122701725927249
1,ARIMA,"(0, 0, 1)",RMSE,0.2381371422769039
2,ARIMA,"(0, 0, 1)",RMSE,0.4640974650874587
0,SARIMA with Diffencing,"(1, 1, 1, 1, 0, 1, 4)",AIC,10.0
1,SARIMA with Diffencing,"(2, 1, 1, 1, 0, 1, 4)",AIC,-84.11456586094288
2,SARIMA with Diffencing,"(1, 1, 2, 1, 0, 1, 4)",AIC,88.13787000797869
0,SARIMA with Diffencing,"(1, 1, 1, 1, 0, 1, 4)",AIC,10.0
1,SARIMA with Diffencing,"(2, 0, 2, 0, 1, 1, 4)",AIC,-95.30497645484446
2,SARIMA with Diffencing,"(1, 0, 1, 1, 0, 1, 4)",AIC,10.0
0,SARIMA with Diffencing,"(2, 0, 1, 1, 1, 1, 4)",RMSE,1.4349608126263125
1,SARIMA with Diffencing,"(2, 1, 1, 1, 1, 1, 4)",RMSE,0.2786408203835826
2,SARIMA with Diffencing,"(1, 0, 2, 1, 1, 1, 4)",RMSE,0.6162654763536749
0,SARIMA with Diffencing,"(2, 0, 4, 1, 1, 0, 4)",RMSE,1.419571796340298
1,SARIMA with Diffencing,"(2, 0, 4, 1, 1, 0, 4)",RMSE,0.2597532187110287
2,SARIMA with Diffencing,"(2, 0, 3, 1, 1, 0, 4)",RMSE,0.6270282320721394
0,SARIMA with Diffencing,"(2, 0, 2, 1, 1, 1, 4)",AIC,284.7132959098853
1,SARIMA with Diffencing,"(2, 0, 2, 2, 1, 1, 4)",AIC,-92.41783127566214
2,SARIMA with Diffencing,"(1, 0, 0, 1, 1, 1, 4)",AIC,78.17729068766648
0,SARIMA with Diffencing,"(1, 0, 0, 2, 2, 2, 4)",RMSE,1.159996793171087
1,SARIMA with Diffencing,"(2, 0, 2, 2, 2, 2, 4)",RMSE,0.2572531956608416
2,SARIMA with Diffencing,"(1, 0, 0, 2, 2, 2, 4)",RMSE,0.6215859672427858
0,SARIMA with Diffencing,"(1, 1, 1, 1, 1, 1, 4)",RMSE,0.5138192816089884
1,SARIMA with Diffencing,"(2, 0, 0, 1, 1, 1, 4)",RMSE,0.1788970374666739
2,SARIMA with Diffencing,"(1, 1, 2, 1, 1, 1, 4)",RMSE,0.282752735394382
0,ARIMA With Differencing,"(0, 0, 1)",RMSE,1.1122701725927249
1,ARIMA With Differencing,"(3, 0, 2)",RMSE,0.2363114877877867
2,ARIMA With Differencing,"(0, 0, 1)",RMSE,0.4640974650874587
0,ARIMA With Differencing,"(0, 1, 1)",RMSE,0.9831270965315748
1,ARIMA With Differencing,"(0, 0, 1)",RMSE,0.2188258817214097
2,ARIMA With Differencing,"(0, 0, 0)",RMSE,0.4299241697551463
0,ARIMA With Differencing,"(0, 0, 0)",RMSE,0.9495381554725948
1,ARIMA With Differencing,"(0, 1, 1)",RMSE,0.2151544208291349
2,ARIMA With Differencing,"(1, 0, 1)",RMSE,0.3682561540890589
0,ARIMA With Differencing,"(2, 0, 2)",RMSE,0.4089027738199099
1,ARIMA With Differencing,"(2, 0, 2)",RMSE,0.163096820866408
2,ARIMA With Differencing,"(2, 0, 2)",RMSE,0.2695718002290943
0,ARIMA with Differencing,"(2, 0, 2)",AIC,82.72821180605028
1,ARIMA with Differencing,"(2, 0, 2)",AIC,-58.93530637213979
2,ARIMA with Differencing,"(2, 0, 2)",AIC,31.08082338575009
0,SARIMA With Differencing,"(1, 0, 2, 1, 1, 1, 4)",AIC,73.54659399614783
1,SARIMA With Differencing,"(2, 0, 2, 1, 1, 1, 4)",AIC,-70.59841109665976
2,SARIMA With Differencing,"(1, 0, 1, 1, 1, 1, 4)",AIC,28.55075510969033
0,SARIMA,"(1, 1, 1, 1, 1, 1, 4)",RMSE,0.396438086770108
1,SARIMA,"(1, 0, 1, 1, 1, 1, 4)",RMSE,0.1578953908893793
2,SARIMA,"(1, 0, 1, 1, 1, 1, 4)",RMSE,0.2249130586492701
0,SARIMA,"(2, 2, 2, 1, 1, 1, 4)",RMSE,0.5097886214573913
1,SARIMA,"(2, 2, 2, 1, 1, 1, 4)",RMSE,0.1778325475150139
2,SARIMA,"(2, 2, 2, 1, 1, 1, 4)",RMSE,0.2686206113267282
0,SARIMA With Differencing,"(2, 2, 2, 1, 1, 1, 4)",AIC,80.51607132909743
1,SARIMA With Differencing,"(2, 2, 2, 1, 1, 1, 4)",AIC,-47.88735198734889
2,SARIMA With Differencing,"(2, 2, 2, 1, 1, 1, 4)",AIC,36.12697839562872
0,ARIMA With Differencing,,RMSE,inf
