,time,precipitation_diff,location_cluster,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
0,1949-01-31,0.4018411679344879,2,1949,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
1,1949-04-30,1.0948387793016876,2,1949,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
2,1949-07-31,0.3555349025628114,2,1949,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
3,1949-10-31,0.6418764417473167,2,1949,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
4,1950-01-31,1.7774313821497818,2,1950,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
5,1950-04-30,1.4926375196998831,2,1950,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
6,1950-07-31,0.6017591633814764,2,1950,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
7,1950-10-31,0.9361985299386749,2,1950,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
8,1951-01-31,1.9440503768895665,2,1951,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
9,1951-04-30,1.0316381025684878,2,1951,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
10,1951-07-31,0.5316647657340294,2,1951,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
11,1951-10-31,0.9095823922262738,2,1951,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
12,1952-01-31,1.3271882332173055,2,1952,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
13,1952-04-30,0.7440497177102935,2,1952,4,30,18,2,121,2,Spring,-0.4999999999999998,-0.22252093395631434
14,1952-07-31,0.558566942141824,2,1952,7,31,31,3,213,3,Summer,-0.8660254037844388,-0.900968867902419
15,1952-10-31,0.26966533691726746,2,1952,10,31,44,4,305,4,Fall,0.5000000000000001,-0.9009688679024191
16,1953-01-31,1.5966390427265922,2,1953,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
17,1953-04-30,0.9510201212913151,2,1953,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
