,time,precipitation,location_cluster,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
0,1949-01-31,2.3277031644379678,0,1949,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
1,1949-04-30,8.158669889908907,0,1949,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
2,1949-07-31,1.8044329252305293,0,1949,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
3,1949-10-31,2.782608754282187,0,1949,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
4,1950-01-31,12.139177901898503,0,1950,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
5,1950-04-30,9.57334653666151,0,1950,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
6,1950-07-31,1.5657656208328579,0,1950,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
7,1950-10-31,5.857136203091598,0,1950,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
8,1951-01-31,12.303109852767538,0,1951,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
9,1951-04-30,6.926458356740944,0,1951,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
10,1951-07-31,1.0808884890070485,0,1951,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
11,1951-10-31,4.516587982521814,0,1951,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
12,1952-01-31,10.270283742444784,0,1952,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
13,1952-04-30,5.495545984189867,0,1952,4,30,18,2,121,2,Spring,-0.4999999999999998,-0.22252093395631434
14,1952-07-31,1.7427127015796298,0,1952,7,31,31,3,213,3,Summer,-0.8660254037844388,-0.900968867902419
15,1952-10-31,1.1701701558429205,0,1952,10,31,44,4,305,4,Fall,0.5000000000000001,-0.9009688679024191
16,1953-01-31,12.93430079357709,0,1953,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
17,1953-04-30,6.471626875656928,0,1953,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
18,1953-07-31,2.8454631926692557,0,1953,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
19,1953-10-31,3.5748393826679608,0,1953,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
20,1954-01-31,13.974159045078014,0,1954,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
21,1954-04-30,6.731177443371468,0,1954,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
22,1954-07-31,2.1827410612776452,0,1954,7,31,30,5,212,3,Summer,-0.8660254037844388,-0.2225209339563146
23,1954-10-31,3.163279830320036,0,1954,10,31,43,6,304,4,Fall,0.5000000000000001,0.6234898018587334
24,1955-01-31,9.038648574285224,0,1955,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
25,1955-04-30,7.4546068709429205,0,1955,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
26,1955-07-31,1.9739886958785848,0,1955,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
27,1955-10-31,4.1839698276695545,0,1955,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
28,1956-01-31,14.681181755886609,0,1956,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
29,1956-04-30,6.821062937148527,0,1956,4,30,18,0,121,2,Spring,-0.4999999999999998,1.0
30,1956-07-31,2.0641210245204444,0,1956,7,31,31,1,213,3,Summer,-0.8660254037844388,0.6234898018587336
31,1956-10-31,5.215009538287786,0,1956,10,31,44,2,305,4,Fall,0.5000000000000001,-0.22252093395631434
32,1957-01-31,6.443818619681103,0,1957,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
33,1957-04-30,7.803497926410402,0,1957,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
34,1957-07-31,2.121030288277676,0,1957,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
35,1957-10-31,2.8024858680298457,0,1957,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
36,1958-01-31,10.61530263157586,0,1958,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
37,1958-04-30,7.653102227411418,0,1958,4,30,18,2,120,2,Spring,-0.4999999999999998,-0.22252093395631434
38,1958-07-31,1.4039508699645449,0,1958,7,31,31,3,212,3,Summer,-0.8660254037844388,-0.900968867902419
39,1958-10-31,3.00957473196047,0,1958,10,31,44,4,304,4,Fall,0.5000000000000001,-0.9009688679024191
40,1959-01-31,11.81617223592387,0,1959,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
41,1959-04-30,6.712095852046986,0,1959,4,30,18,3,120,2,Spring,-0.4999999999999998,-0.900968867902419
42,1959-07-31,2.1297920960214674,0,1959,7,31,31,4,212,3,Summer,-0.8660254037844388,-0.9009688679024191
43,1959-10-31,3.9631853265170225,0,1959,10,31,44,5,304,4,Fall,0.5000000000000001,-0.2225209339563146
44,1960-01-31,7.637287475290534,0,1960,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
45,1960-04-30,8.21892768152238,0,1960,4,30,17,5,121,2,Spring,-0.4999999999999998,-0.2225209339563146
46,1960-07-31,2.5584310495511176,0,1960,7,31,30,6,213,3,Summer,-0.8660254037844388,0.6234898018587334
47,1960-10-31,3.316276053487832,0,1960,10,31,44,0,305,4,Fall,0.5000000000000001,1.0
48,1961-01-31,10.242098463556266,0,1961,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
49,1961-04-30,11.267406174186736,0,1961,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
50,1961-07-31,1.9216824517125837,0,1961,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
